Unnamed: 0	CTRL_4H	CTRL_24H	SWTX143_50mpk_4h	SWTX143_50mpk_24h	SWTX143_25mpk_4h	SWTX143_25mpk_24h	SWTX143_10mpk_4h	SWTX143_10mpk_24h
HES4	0.0012563018679679	0.00147795607270853	0.00126471338261913	0.000818591239304733	0.00113464743200763	0.00141914083784937	0.00121754710416903	0.0010263242388063
ISG15	0.00292114061101327	0.00365510060705747	0.00132947510974553	0.000713246315222233	0.00195012736040547	0.00134034566094697	0.00176828013912237	0.00151359027937963
AGRN	0.141359419524098	0.152620832074837	0.147414759520263	0.115970884935416	0.131663878761988	0.153950304006354	0.170228314017097	0.125186071379047
RNF223	1.58292968626334E-05	4.02508432551663E-06	0	0	0	6.7031317031317E-06	4.53564106750847E-06	0
C1orf159	0.00208517636380797	0.00243065411918797	0.0029423445346294	0.00194850255494843	0.00250564838812327	0.0027188252462326	0.0027524369428709	0.00211958439937727
LINC01342	0	2.1167417269358E-05	2.94034051306557E-05	4.47665224039794E-05	1.63518400580157E-05	3.30483364501668E-05	1.3202203995287E-05	8.44908580891547E-06
MIR200B	9.24147645813653E-06	0	0	2.17991102879071E-05	4.62404224524997E-06	0	9.07128213501697E-06	5.6564285310255E-06
MIR200A	5.27643228754447E-06	1.25133584928132E-05	3.09212747172658E-05	1.45978796912371E-05	4.62404224524997E-06	1.96420730439034E-05	9.07128213501697E-06	4.22454290445773E-06
MIR429	1.12642052551446E-05	8.92637968355984E-06	4.07089367033318E-05	2.87093177173292E-05	3.00771337253361E-05	2.50416749077635E-05	2.24712143697355E-05	2.5418371401992E-05
TTLL10	9.95281713819223E-06	4.19086893476493E-06	7.80402531625813E-06	4.37936390737113E-05	1.49651503284534E-05	1.34062634062634E-05	9.26901037444853E-06	0
TNFRSF18	1.05528645750889E-05	8.21595326028157E-06	2.28224228532409E-05	0	4.62404224524997E-06	9.8645595967368E-06	4.73336930694007E-06	1.26736287133732E-05
TNFRSF4	3.37122023420097E-05	1.64319065205631E-05	6.66108355775694E-05	1.45978796912371E-05	3.45543429021567E-05	9.8645595967368E-06	4.73336930694007E-06	4.24089840508695E-05
SDF4	0.0192950893135303	0.0219152162215644	0.0223984197691386	0.0165447246422598	0.0214385380899743	0.0241579345292403	0.0245001942019408	0.0176652747736113
B3GALT6	0.0025493284014981	0.0028370503902054	0.002755335429056	0.0023492602817148	0.0025878820203501	0.00299017204937523	0.0030764048444338	0.00206858410156697
FAM132A	0.0001402365348987	0.0001907910366564	0.0001391692634892	0.000101844227757094	0.000137418014152733	0.0002300234351042	0.0001729012316417	0.000112915228694733
UBE2J2	0.00493826084624447	0.0053345577810475	0.00564988054077373	0.0039157857563654	0.00490569888770847	0.00504872685270213	0.00583578991445847	0.00446057556556183
SCNN1D	0.000983622665831267	0.0011902284125193	0.00312252488590073	0.00251465588750367	0.0019449462102192	0.0026594958876707	0.0020132380869635	0.00150206408039187
ACAP3	0.00669601470464013	0.00802164044341833	0.0126990253079739	0.00990325243043293	0.0095856153544567	0.0112571535178646	0.0108626096945892	0.0079509645651439
MIR6726	0	0	0	0	0	0	0	0
PUSL1	0.00176326541139527	0.00228332260070567	0.0021175353282401	0.0015455579452685	0.0021916644735318	0.0023371611856929	0.0022243671591047	0.00160378022011143
CPSF3L	0.00851738246366223	0.0101203239146463	0.0114631363195962	0.00959682921015647	0.010618490460495	0.0110041754361371	0.011035679111402	0.00873126710378903
MIR6727	0	0	0	0	0	0	0	0
CPTP	0.0028113743256362	0.00319722853397123	0.00339921833960497	0.0027353702218757	0.00315522921020523	0.0032534272241312	0.00338686559756023	0.0024043451155035
TAS1R3	0.0002064299648892	0.0001775080034288	0.0003013318903671	0.000219841264870233	0.0002546360296068	0.0001982786284933	0.000206889328607367	0.000153963441094263
DVL1	0.00671189385637703	0.00774565807157427	0.00660091973719197	0.00631423623322567	0.00688388840209423	0.00644382799849563	0.0070652309816571	0.006258068032634
MIR6808	0	0	0	0	0	0	0	0
MXRA8	0.0005145407769845	0.0006430961264139	0.0015401911178155	0.00164005122168613	0.00128490794584707	0.00132965628378407	0.00101229393760807	0.000956614442138067
AURKAIP1	0.00377591366984373	0.00479296752333773	0.0045383868726976	0.00294830127931657	0.00482725524701877	0.0045006730505667	0.0045000941974159	0.00346465057960753
CCNL2	0.0234277477472028	0.0294459520360905	0.0389667852815828	0.0344222882450636	0.0342817908188587	0.0371600254761892	0.0361993794636124	0.028995027895793
LOC148413	0.00140173442173073	0.00152741606162853	0.0017826247173701	0.00146594936255013	0.00165839807242123	0.00178124987149473	0.00169650881748907	0.0014178007584764
MRPL20	0.0034177539505661	0.00386801286094207	0.00431340172933497	0.00332122254757853	0.00385418868241023	0.0044629742738769	0.0042846897204783	0.00329514973854673
ANKRD65	1.97943410332254E-05	1.68700120368264E-05	2.81803620918123E-05	7.05571901304603E-06	1.95891925737034E-05	4.11420441421403E-05	3.10435445419858E-05	0
TMEM88B	0	8.48827416729657E-06	6.58098227741473E-06	0	0	1.4709793245535E-05	9.26901037444853E-06	0
LOC102724312	0	0	1.53132240847495E-05	0	0	0	0	0
VWA1	5.49292247353465E-05	4.26664037572126E-05	1.43850075936729E-05	3.65425015627681E-05	1.63518400580157E-05	1.60133230848066E-05	2.69033599533405E-05	6.51271392059922E-05
ATAD3C	0.000113823493641233	0.000206240195846633	0.000390470322250133	0.000438564134826667	0.000328180206325533	0.0003343618627018	0.000249139269293567	0.000190388886601567
ATAD3B	0.00151608992951627	0.0016104886481759	0.0016263699528342	0.001003399234522	0.0014637738288575	0.0016738163610431	0.0016175171734031	0.0011774452357033
ATAD3A	0.00244278509388677	0.00260113058227167	0.0024066334705435	0.0016956651825958	0.00220262940271097	0.00262665173863107	0.00268361659067863	0.00190342157149747
TMEM240	0.0003546152419131	0.000479723446594733	0.000635055870515067	0.000459926710363667	0.000614762276854967	0.0005497832518201	0.000504962642342567	0.000420792323963933
SSU72	0.00850365598774947	0.0097700802614494	0.0094919692888236	0.00792402320752977	0.00945830845332267	0.00922847439908473	0.0100823989072636	0.00819959579849483
FNDC10	0.00352271390406543	0.0048674990400422	0.00533978400313813	0.00379117795330847	0.00450830144690253	0.00548208041666433	0.005331872580511	0.00397240644173383
MIB2	0.0050598785288172	0.00594799925030753	0.00688709469494783	0.00509654643009587	0.0059771745104628	0.00601974015070847	0.0066619446057553	0.0048159420288031
MMP23B	3.24008142250573E-05	8.65405877654487E-06	7.5091987684914E-06	4.37936390737113E-05	2.77442534714997E-05	2.50416749077635E-05	8.4688346883469E-06	4.22454290445773E-06
MMP23A	3.44235430220654E-05	1.64319065205631E-05	6.00298533001547E-05	5.09948696703813E-05	6.1858097168349E-05	2.89522644255782E-05	3.74714979766574E-05	3.24355715843397E-05
CDK11B	0.0022098063424254	0.0023496057946444	0.0024481070077335	0.0020611942212112	0.00239625707417793	0.0023801476583765	0.0025128916099099	0.00200436004561563
SLC35E2B	0.0040026325282475	0.00441701399717003	0.00680762598520883	0.00624547950846103	0.00641274597878837	0.00614765410438207	0.00667903478055733	0.00384354139483677
CDK11A	0.0015076091732469	0.00174762683075843	0.0019148784420421	0.0013552034629479	0.0017949845919568	0.00185429942433927	0.0020593882563074	0.0015883779152876
SLC35E2	0.00626572831765953	0.00738132877060523	0.0120832878076724	0.0105313266289079	0.0106378224757541	0.0113887833507459	0.0113837999774277	0.00759178138910767
NADK	0.00660510286766667	0.00716837026301703	0.00685719173891217	0.00586851635526853	0.0069650385918294	0.00677836594970287	0.00714387596338463	0.00606198974087917
GNB1	0.0525494254853124	0.0552985066536101	0.0469795007989233	0.0425915443714176	0.050085955653122	0.0488304073471043	0.0540876423404763	0.0550637647887164
CALML6	9.24147645813653E-06	8.05016865103323E-06	7.5091987684914E-06	0	4.62404224524997E-06	4.9322797983684E-06	8.9677866511135E-06	0
TMEM52	1.52292494257367E-05	5.41970149197325E-05	2.81803620918123E-05	0	2.86904439957739E-05	9.8645595967368E-06	4.87813896047813E-05	1.6898171617831E-05
CFAP74	1.12642052551446E-05	1.71423329438414E-05	1.53132240847495E-05	0	0	1.96420730439034E-05	8.4688346883469E-06	5.6564285310255E-06
GABRD	6.15170451398434E-05	7.16116687705889E-05	0.000213077938127367	8.10180007995174E-05	0.000138951536950712	0.00016057054090114	0.000207190552330667	0.000103126698290296
LOC105378591	0	0	6.58098227741473E-06	0	0	0	0	0
PRKCZ	0.00354691846224187	0.00358645751711173	0.00376222778504153	0.00317821672701933	0.00365542604793893	0.00371228047416433	0.00403944783413127	0.00311039595342037
FAAP20	0.00416294822567083	0.00447003018299107	0.0044502714555322	0.00371828436981047	0.0048381932684767	0.0049958717449103	0.00472654599864357	0.00366920190027633
SKI	0.0110883047059631	0.010965089548831	0.0141097950942942	0.0161603132786182	0.0148027025410265	0.015405891691607	0.0147123164317639	0.0175200557772459
MORN1	0.000968857564432733	0.00116382813067343	0.00192453890034047	0.00176783583791257	0.00153971428237363	0.00174268279571347	0.00172367883073077	0.00105594582605693
LOC100129534	0.000523961579978433	0.0004795576619855	0.000919640134050733	0.0008474460686057	0.000589896517648633	0.000887870221532967	0.0007921480688744	0.000621111968920433
RER1	0.0143617396777392	0.0167862285643224	0.0167643068881461	0.012653298669166	0.0157522550683772	0.0162611428276626	0.0177088007196447	0.0141814899833713
PEX10	0.00372791869254873	0.0047479791731146	0.00534632456624307	0.00443804963488873	0.0052233311902088	0.00567815088319983	0.00569585750468907	0.00426488123217917
PLCH2	0.000333459979159233	0.0004378615642651	0.000867964229170267	0.000697912249005633	0.000508808086157133	0.000681140389846967	0.0005770154220032	0.0005610413418983
PANK4	0.00128925914840873	0.0015724024156325	0.0016320737799993	0.0015247275091517	0.00169935326493097	0.00149657969248483	0.00172200153182053	0.0014278168250545
HES5	0	0	0	1.4743391274861E-05	0	8.00666154240327E-06	0	0
LOC115110	0.0001384055127683	0.000249936634920433	0.000415822298020967	0.0003299552112237	0.000311534700130633	0.000208610510155533	0.000293375755102467	0.0001397654857233
TNFRSF14	0.000844301879680533	0.000896384262148667	0.00154103517828633	0.00111808678464847	0.00166004373503547	0.00151630158008123	0.00121594675279687	0.000820049515169833
LOC100996583	3.96504417059207E-06	4.19086893476493E-06	2.2189032909931E-05	2.88548293009531E-05	4.38024273926566E-05	1.65676912998685E-05	0	5.6564285310255E-06
FAM213B	0.00178750084939143	0.0022258094126327	0.00380233711562337	0.00272675073430177	0.002698643575184	0.0030586644460455	0.0028714555978957	0.002001392183765
MMEL1	0.000398342021032767	0.000516825416556933	0.000917831444772033	0.000587025046979	0.000765066304526967	0.000867481066170133	0.000636805479512767	0.000515142826432733
TTC34	1.91942935963288E-05	0	1.31619645548295E-05	2.93412709660982E-05	5.86389890638287E-06	0	9.07128213501697E-06	4.22454290445773E-06
ACTRT2	0	0	0	0	0	0	0	0
LINC00982	0.000246129940198833	0.000269896271938767	0.000540646973088967	0.0004044538415896	0.0004353924980957	0.000515419995323	0.000535102515714533	0.0003855427680459
PRDM1	0.000181161211248684	4.65849517849626E-05	8.69871723531085E-05	0.000139309705735891	0.000173846493692315	4.59872777909385E-05	2.17745341675373E-05	7.21230123325451E-05
PAPD4	0.006691423862798	0.00605443664296347	0.00812992783108647	0.00795964252238767	0.00813423705012787	0.00783483108490193	0.0071035833899852	0.00815300879843743
MIR4251	0	0	0	0	0	0	0	0
ARHGEF16	0.00212157905440593	0.00292160307791083	0.00274921689618647	0.00194042404569083	0.0019712186991364	0.0021585868166725	0.00252176392356623	0.0018489530693283
MEGF6	0.0330028590679046	0.0374721057025329	0.0365493526760603	0.0253552455037168	0.0341409784775583	0.0383869793883654	0.0472321085635822	0.0344459305135835
MIR551A	5.27643228754447E-06	0	6.58098227741473E-06	0	0	8.00666154240327E-06	0	0
SEMA3D	0.000117980244478459	3.79308930084177E-05	0.000284457059847967	0.000151379772432053	8.46846422577323E-05	0.000226286937885546	0.000146748888021534	0.000363820137176476
WRAP73	0.00178778519551723	0.00214859894434247	0.00221903871873023	0.00158385521444203	0.00229828763745813	0.00209080841732227	0.0022594687639192	0.00166010983644013
TP73	0.000180536557645233	0.000271163300501267	0.0002881261889645	0.0002934626165752	0.0003013821433783	0.000249003392673467	0.000317852040051667	0.00019484809848753
TP73-AS1	0.00346758027126213	0.00377012188413597	0.0058412061252886	0.00519290270627117	0.00514113584237433	0.0055705402905615	0.00541329962091327	0.00357354041307563
CCDC27	2.57821140008256E-05	1.24068221950465E-05	5.37436975705067E-05	2.21400403694282E-05	2.40664017505239E-05	2.76487345863067E-05	2.72045836766756E-05	9.88097143548324E-06
SMIM1	0.0003242493825208	0.000363965272908867	0.0008027036403192	0.000753584745436833	0.0007470975051461	0.000610100046940633	0.0004796861817073	0.000447806135998767
LRRC47	0.00508909350566877	0.00533614441850333	0.00630777680087937	0.00527713059051767	0.00605995196113087	0.0062260576151609	0.00609674729007133	0.00460428827109647
CEP104	0.00468224627629507	0.00491679620250857	0.00467886596374087	0.0042804872129453	0.00473144315419297	0.00502249463060553	0.00555093324422497	0.00375798841524523
DFFB	0.000557395388577233	0.000562853766202633	0.000837971170944067	0.000819518424879933	0.000799830877041133	0.000991871854739933	0.000878487166722233	0.00059001584193163
C1orf174	0.00165492196147327	0.0018825291939925	0.00160161094783427	0.00125871451295543	0.0017020397739952	0.00189335668570027	0.00183210564549737	0.00152447645259023
LINC01134	4.83105245111148E-05	5.51797622500258E-05	1.31619645548295E-05	7.05571901304603E-06	2.42132348189533E-05	2.82031028013686E-05	7.25517316233851E-05	1.97619428709665E-05
LINC01346	0	0	0	0	0	0	0	0
LOC284661	0	0	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	0
MIR4417	0	0	0	0	0	0	0	0
MIR4689	3.96504417059207E-06	0	0	7.05571901304603E-06	0	0	0	0
NPHP4	0.00242828583892507	0.0025495711302728	0.0034051725672897	0.002226544129245	0.00281766187185163	0.0028244858254742	0.0032743794822818	0.00230276407092653
BRCA1	0.00237897255731873	0.00222891099793943	0.00173078118962953	0.000998189468341	0.00159399598760777	0.0018951461594098	0.00265979439300757	0.00187058064311743
KCNAB2	0.00381952883444963	0.00465774203974017	0.00528330339979783	0.0037739935148118	0.00452328304607203	0.0048428995738295	0.00485028766941917	0.0036199108111858
CHD5	0.00145902652864577	0.00126809253610877	0.00102864208110303	0.000836012164317533	0.000912796723471533	0.00124165442105	0.0012597334459959	0.00122715587583747
RPL22	0.0373951787634012	0.0442995235587173	0.0484896386154001	0.0473318185876193	0.0504886017692064	0.0496253263231063	0.0494970217784621	0.038075217436938
LOC102724450	8.53073101633672E-05	0.000105138620248699	0.000160178990208067	8.80737198125333E-05	0.000152089498344316	0.000122230349846675	0.000143597344630059	9.04530695769517E-05
RNF207	0.00433173166977223	0.0051594768174777	0.00909483382827573	0.00832114335499437	0.0073685761137881	0.00810979217480943	0.00671462622401777	0.0050022344062028
ICMT	0.0157658178394195	0.0160397865047708	0.0137041366841058	0.0103322111463002	0.0140287642596329	0.0143320459451873	0.0181699235728965	0.0127063905006992
LINC00337	0	8.65405877654487E-06	1.40901810459061E-05	2.22855519530521E-05	0	0	4.23441734417343E-06	0
HES3	5.98777296760017E-06	4.19086893476493E-06	0	0	0	0	0	0
GPR153	0.00331833675115673	0.00316258383246177	0.00552183074041757	0.00441035889825677	0.00487058847191473	0.00538606890250033	0.00551757414265187	0.00384174877860313
ACOT7	0.0033476942223418	0.00334144258672957	0.0027499304352943	0.00159660272185317	0.00264470863102023	0.00274716827071023	0.0029804597018139	0.0027763868023152
HES2	0.000459691965672533	0.000535294026374733	0.000612615747905133	0.000402994516594133	0.0005198017186277	0.000475659216267367	0.0005240539511852	0.0003656670570881
ESPN	3.24008142250573E-05	3.85820711202144E-05	6.35313595565727E-05	5.05084280052362E-05	5.42903685442894E-05	0.00010538081898812	5.23098640183535E-05	9.62019391390097E-05
MIR4252	0	0	0	0	0	0	0	0
TNFRSF25	0.00111938079619917	0.00144352699332833	0.0025139645742111	0.00203774899603727	0.00203175170754867	0.0019759888754838	0.0022959689059162	0.00131158275275923
PLEKHG5	0.00391501829725633	0.00429483072279823	0.00679565271891713	0.0055452889810316	0.00588253109222363	0.0056012177629623	0.00602768807277583	0.00359911775135763
NOL9	0.00194384427825983	0.0018838045990638	0.0023900203719307	0.00170569387796203	0.00237088562365257	0.00222669469571727	0.0023585150503384	0.001664007269332
TAS1R1	1.4517908745681E-05	1.24068221950465E-05	0	7.05571901304603E-06	0	2.32708230030002E-05	1.3503427718622E-05	0
ZBTB48	0.00101118626835883	0.000971073114607333	0.00139443686519317	0.0012121433160264	0.00131044447385197	0.00124616502271247	0.00147300156868507	0.00107323508885477
KLHL21	0.00260806184355717	0.0030976533855811	0.00407600215468533	0.00370300862882657	0.00406566179404083	0.003980761158485	0.00413507716410987	0.00339630607134923
PHF13	0.00252829006309937	0.00251464828088127	0.0028810479014426	0.00286387376741303	0.00306237126263857	0.003104938715687	0.0033307844574862	0.00269152610873413
THAP3	0.00330861954317683	0.00391932232508707	0.004303417356703	0.0035536159013621	0.0039818763946048	0.00451579313174057	0.00443438316092357	0.00343587777193357
DNAJC11	0.0063597521342649	0.0067990142364629	0.00646019481343863	0.00607765127376877	0.00657102609712827	0.00705964781609237	0.0071643009703111	0.0062765829719405
LOC100505887	0	0	0	0	0	0	0	0
CAMTA1	0.0018450528503607	0.0018027931174323	0.00271302183825083	0.00272412773721503	0.00260307744027187	0.0024574217316152	0.0022154472915672	0.00384897154393117
VAMP3	0.0139566060576946	0.0154153856086927	0.0145225438624644	0.0122863229330327	0.0146362490001191	0.0155263080492634	0.0167097326882667	0.0128433278792087
PER3	0.00155953236251017	0.0016902809425457	0.0021105913908174	0.00226454153635517	0.0030518128999331	0.0023380544276039	0.00262211684547933	0.00152343565814363
UTS2	1.19755459352003E-05	2.05635271438464E-05	7.5091987684914E-06	2.98277126312432E-05	1.97360256421327E-05	2.82031028013686E-05	1.7935573302227E-05	5.6564285310255E-06
TNFRSF9	0.000607636002426167	0.000684888315357767	0.0004946231448145	0.000388296823074367	0.000387458704805733	0.000390300746239	0.0002530273895118	0.00019627998411413
PARK7	0.0104359211560793	0.0122751499502526	0.0130269559197201	0.0098817856216193	0.0123140434322787	0.0128262607355937	0.0140037790125983	0.0103858039192121
ERRFI1	0.00507962395262667	0.00415460195329777	0.00600239610964737	0.00479141279184977	0.00574619320395113	0.0052207256278067	0.00429853820508357	0.0047689904253524
LOC102724539	0	8.92637968355984E-06	6.58098227741473E-06	7.05571901304603E-06	0	0	8.9677866511135E-06	0
SLC45A1	0.000249464057112767	0.0002842088595147	0.0003731734614956	0.000479339099792067	0.0004619203687573	0.000417383722402633	0.000385022881518767	0.000283755514351067
RERE	0.0123757817233039	0.0153730918564439	0.0231375085830614	0.0213786615133751	0.0225912427500344	0.0211360338833575	0.0199019403198792	0.0204260690543669
LOC102724552	1.32065206287286E-05	1.24068221950465E-05	7.5091987684914E-06	7.05571901304603E-06	4.62404224524997E-06	2.76487345863067E-05	4.53564106750847E-06	9.88097143548324E-06
SNORD128	0	0	0	0	0	0	0	0
ENO1	0.193915511597971	0.227034159919675	0.114340661942297	0.0862858691873299	0.14147647334396	0.133103975784997	0.169750497619352	0.138946263428675
MIR6728	1.39178613087843E-05	0	6.58098227741473E-06	7.5421606781911E-06	9.10125142207053E-06	8.00666154240327E-06	1.3503427718622E-05	0
ENO1-AS1	5.29064959383385E-05	8.02657275471338E-05	4.50114557631719E-05	2.17991102879071E-05	3.5941032631719E-05	5.89262191317101E-05	5.80503999792298E-05	4.51092002976844E-05
CA6	0	0	0	0	0	0	0	0
SLC2A7	0	0	0	0	0	0	0	0
SLC2A5	0.000117046317312086	0.000208430723427967	2.18942063621643E-05	2.87093177173292E-05	2.09758823032656E-05	4.55199557254467E-05	6.2878002041698E-05	2.67791430533142E-05
GPR157	0.000184612895058967	0.000200368594451733	0.0001619916863424	0.000191618388818033	0.000159780586185533	0.000145588218999233	0.000231855302790933	9.0218400595402E-05
MIR34AHG	0.0029322681202225	0.00347039265679423	0.00406156940338823	0.00344564335045597	0.00388692362190847	0.00380353995564587	0.00441234620882947	0.0031847498440367
MIR34A	0	0	0	0	0	0	0	0
LOC102724571	0.000202464920718633	0.000289986365905267	0.0003883992118848	0.000175465579462055	0.0003761844211693	0.0003126877993044	0.00035473035331	0.0002726275393511
H6PD	0.0113782103294247	0.0132756048477924	0.0177401450298946	0.0144814086272457	0.0152518062827691	0.0162290716231873	0.0174452648544301	0.0103898932956062
SPSB1	0.0019435790612836	0.00225472134620417	0.00157634243890333	0.000945539855177267	0.0014782385173071	0.00125381210944897	0.00172342144017077	0.00128376281525937
LOC100506022	0	1.68700120368264E-05	6.58098227741473E-06	7.05571901304603E-06	4.62404224524997E-06	1.16354115015001E-05	4.23441734417343E-06	5.6564285310255E-06
SLC25A33	0.000434738759248167	0.0004500921567767	0.0002389798370016	0.000336087953820733	0.000339931477989567	0.000455678269527567	0.000364489052918833	0.000443816262075833
TBL1X	0.00208993284081143	0.00214626806805323	0.0030368449126067	0.00237398246144163	0.00276960815321457	0.00253522431966713	0.00257224113753797	0.00201289443964773
PIK3CD	0.00555599842071487	0.0056957576559674	0.00460917896981763	0.0035818888946174	0.00607647003097653	0.0045624104336885	0.0050524835253442	0.00432891524533763
PIK3CD-AS1	0	0	0	0	0	0	0	0
PIK3CD-AS2	0.0001430510177992	0.000256293629817867	0.000395107397849867	0.000426057533379567	0.0004017426274554	0.000369822465421333	0.000342260640191167	0.000227283670071896
CLSTN1	0.0331966241406023	0.0352999998540943	0.0353251967749846	0.0297896990478997	0.0377602993704122	0.0387743302265047	0.0425802918540837	0.0299047042445957
CTNNBIP1	0.00273939688820483	0.00337680609117103	0.00359031127999933	0.00296902769244563	0.00344549436189583	0.00375480162098863	0.00386401194605113	0.00350047610876767
LZIC	0.002736378318507	0.00260342764615073	0.00352260059821493	0.00359726865858903	0.00352523782192023	0.0036186542041449	0.00429186584453507	0.00263043156893033
NMNAT1	0.0013072473947487	0.0013301022454654	0.00140966662243803	0.00147101361714753	0.00142007651627087	0.00160298220175353	0.0015820454198163	0.00115174954120813
MIR5697	7.93008834118413E-06	4.46318984177993E-06	0	0	0	0	0	0
UBE4B	0.00825751865599063	0.00760801551222377	0.0105556490952642	0.0103416778175541	0.0093022169382589	0.00915902865337973	0.00946951109841663	0.0108868722046427
KIF1B	0.0117582112493336	0.0129150826211684	0.0134360356870003	0.0156889789703657	0.0126438642290486	0.0127978025572178	0.0145324934715028	0.0155061262764869
RNU6-2	2.64130412574571E-05	4.67980243804959E-05	3.62792139558371E-05	6.63702141939949E-05	5.76745541284065E-05	7.13978384069737E-05	7.63906924886941E-05	4.94972982084628E-05
PGD	0.0156109284601772	0.015800439675662	0.0112919379214714	0.00866822846806364	0.0118802054147531	0.0129191895507927	0.0165998002695274	0.0130759123365676
APITD1	6.48016284501147E-05	5.48009050452442E-05	8.01113635279356E-05	5.27951247473333E-05	0.000114591469063345	0.0001080749248162	9.44204985464091E-05	0.000149923780251922
APITD1-CORT	0	0	0	0	0	0	0	0
CORT	1.71715647993206E-05	4.60875979572177E-05	3.81356469379905E-05	2.87093177173292E-05	7.2492871388415E-05	9.82103652194753E-05	5.76549435003666E-05	5.09291838350306E-05
DFFA	0.0028590224005297	0.00283548663911727	0.00333230867062397	0.0026607757765516	0.0031549850478617	0.00275927100427723	0.00353280913311767	0.00204525438049827
PEX14	0.00194328828740963	0.00255725440204427	0.0026224085844486	0.0017925036912771	0.00260857725148757	0.0024585325473506	0.0027060890452876	0.0020570579025792
CASZ1	0.00390703931785263	0.00436162818526473	0.0024963402711095	0.00266787298416053	0.00242625168916927	0.0021431122298856	0.00309036499642363	0.00416657573311897
C1orf127	3.96504417059207E-06	4.19086893476493E-06	7.80402531625813E-06	7.5421606781911E-06	0	1.16354115015001E-05	9.26901037444853E-06	0
TARDBP	0.0186079951502388	0.0179742514584333	0.0242258476899012	0.024764554254477	0.0231397624094485	0.0226002013264234	0.021853052810785	0.0264826001550807
MASP2	0.0008633166926461	0.00102744869678317	0.0016124944491715	0.00123890686708317	0.00125367782585547	0.00130396180430403	0.00132886019868953	0.0010779076426665
SRM	0.0151346324778888	0.0163758625371988	0.012595151973715	0.00846896789444993	0.0126217969614526	0.0130347000602387	0.014714775231492	0.0118199642980773
