Gene_names	CTRL_4h_1	CTRL_4h_2	CTRL_4h_3	SWTX143_50mpk_4h_1	SWTX143_50mpk_4h_2	SWTX143_50mpk_4h_3
VAMP3	668	1215	974	727	666	607
PER3	79	113	121	78	141	69
UTS2	2	0	0	0	1	0
TNFRSF9	36	39	45	32	16	21
PARK7	495	925	721	663	525	605
ERRFI1	295	294	407	333	256	242
LOC102724539	0	0	0	1	0	0
SLC45A1	13	18	19	15	22	14
RERE	673	1027	810	1105	1059	1014
LOC102724552	0	2	1	0	1	0
SNORD128	0	0	0	0	0	0
ENO1	8978	15986	14550	5876	4728	5147
MIR6728	1	2	0	1	0	0
ENO1-AS1	2	5	4	1	2	3
CA6	0	0	0	0	0	0
SLC2A7	0	0	0	0	0	0
SLC2A5	5	6	12	1	1	1
GPR157	9	17	12	6	8	8
MIR34AHG	125	258	220	209	180	171
MIR34A	0	0	0	0	0	0
LOC102724571	10	16	15	17	15	21
H6PD	550	1041	750	866	902	675
SPSB1	103	147	141	86	67	65
LOC100506022	0	0	0	1	0	0
SLC25A33	21	42	27	13	9	11
TBL1X	123	175	125	135	151	130
PIK3CD	294	409	412	248	199	190
PIK3CD-AS1	0	0	0	0	0	0
PIK3CD-AS2	10	9	9	25	12	18
CLSTN1	1582	2880	2332	1761	1548	1552
CTNNBIP1	151	218	184	165	161	166
LZIC	126	251	187	181	139	165
NMNAT1	58	125	88	63	66	64
MIR5697	0	2	0	0	0	0
UBE4B	482	684	504	531	508	416
KIF1B	600	1060	751	616	603	622
RNU6-2	0	4	2	2	1	2
PGD	690	1430	1101	582	499	476
APITD1	2	8	4	3	7	1
APITD1-CORT	0	0	0	0	0	0
CORT	0	3	1	0	3	2
DFFA	167	228	181	169	146	144
PEX14	95	163	138	134	105	122
CASZ1	146	367	299	89	84	164
C1orf127	0	1	0	0	0	1
TARDBP	1116	1484	1145	1173	1003	1150
MASP2	39	75	63	81	71	70
SRM	861	1210	982	596	547	585
EXOSC10	457	653	589	458	410	381
LOC105376736	23	44	22	11	24	16
MTOR	667	900	758	522	400	511
MTOR-AS1	17	18	25	8	14	7
ANGPTL7	1	3	3	3	2	0
UBIAD1	146	182	167	158	139	127
DISP3	2	5	4	11	12	6
LOC101929181	1	0	0	0	0	0
FBXO2	888	1962	1492	956	851	964
FBXO44	293	610	493	591	522	508
FBXO6	33	73	72	69	55	49
MAD2L2	124	233	184	151	127	145
DRAXIN	2	1	1	2	2	0
AGTRAP	227	464	409	348	253	243
C1orf167	6	33	17	30	40	43
LOC102724659	0	0	0	0	0	0
MTHFR	72	127	88	142	123	121
CLCN6	157	349	293	174	148	168
NPPA-AS1	1	2	2	0	1	0
NPPA	2	3	2	3	2	2
NPPB	149	194	87	10	16	17
PLOD1	956	1266	1161	587	563	527
MFN2	563	838	608	514	478	492
MIIP	64	114	97	64	64	78
MIR6729	0	0	0	0	0	0
TNFRSF8	1	4	0	3	2	2
MIR7846	0	0	0	0	0	0
TNFRSF1B	22	36	24	43	34	32
MIR4632	0	0	0	0	0	0
VPS13D	569	1244	729	884	805	715
SNORA59B	0	0	0	0	0	0
SNORA59A	0	0	0	0	0	0
DHRS3	815	1951	941	2898	2765	2035
MIR6730	1	0	2	7	4	4
AADACL4	0	0	0	1	0	0
AADACL3	0	0	0	0	0	0
C1orf158	1	1	4	0	0	0
PRAMEF12	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0
HNRNPCL4	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0
HNRNPCL1	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0
PRAMEF22	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
PRAMEF36P	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0
HNRNPCL2	1	1	0	0	0	0
PRAMEF10	0	0	0	0	0	0
PRAMEF33P	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0
LRRC38	0	0	0	0	0	2
PDPN	780	1101	826	1049	837	886
PRDM4	278	368	300	238	176	203
PRDM2	223	302	241	217	183	202
KAZN	78	189	215	84	75	66
TMEM51-AS1	71	120	113	65	56	40
TMEM51	251	440	383	170	154	136
C1orf195	1	0	1	0	0	0
FHAD1	3	5	1	4	4	1
EFHD2	835	891	790	501	555	476
CTRC	3	6	12	3	5	11
CELA2A	1	1	1	0	1	3
CELA2B	0	4	4	3	5	0
CASP9	42	83	61	94	66	67
DNAJC16	160	282	203	156	140	129
AGMAT	1	2	2	1	1	1
DDI2	61	40	34	31	33	28
RSC1A1	16	36	32	18	14	18
PLEKHM2	433	875	743	546	444	413
SLC25A34	19	19	18	18	17	16
TMEM82	1	4	1	0	0	2
FBLIM1	755	1136	897	958	949	687
UQCRHL	14	38	17	31	16	22
FLJ37453	20	52	30	41	28	35
SPEN	910	1416	1181	810	645	675
MIR5096	0	0	0	0	1	0
ZBTB17	92	181	167	127	109	124
C1orf64	0	0	0	0	0	0
HSPB7	93	191	108	234	230	215
CLCNKA	0	7	6	13	6	6
CLCNKB	7	12	6	11	17	6
FAM131C	3	5	3	1	1	3
RSG1	13	33	23	25	30	29
FBXO42	152	313	198	193	156	152
SZRD1	1187	2017	1617	1204	1124	1137
SPATA21	1	1	2	1	1	0
NECAP2	243	459	381	331	254	300
CROCCP3	45	104	63	91	65	67
LOC440570	0	2	0	0	0	0
LOC100132147	0	0	0	0	0	0
FAM231B	0	1	0	0	0	0
MIR3675	0	0	0	0	0	0
NBPF1	275	477	345	409	367	303
CROCCP2	48	136	81	119	94	103
MST1P2	29	76	58	72	60	51
FAM231A	0	0	0	0	0	0
FAM231C	0	0	0	0	0	0
ESPNP	0	1	0	0	0	2
MST1L	5	6	5	3	14	7
LOC102724562	0	0	0	0	0	0
LOC105376805	6	7	5	7	6	4
CROCC	103	215	131	205	231	190
MFAP2	392	761	606	638	765	473
ATP13A2	390	796	536	515	431	390
SDHB	403	511	429	356	310	397
PADI2	11	28	27	34	28	34
PADI1	555	1318	1086	324	308	289
PADI3	24	36	21	8	9	5
MIR3972	0	0	0	1	0	0
PADI4	0	1	0	1	0	0
PADI6	0	0	0	0	0	0
RCC2	663	1115	815	565	477	434
ARHGEF10L	137	214	184	266	252	221
ACTL8	0	0	0	0	0	0
LOC101927876	0	0	0	0	0	0
IGSF21	0	2	0	0	1	0
KLHDC7A	19	50	37	8	9	6
PAX7	0	0	0	0	1	3
TAS1R2	1	0	0	0	0	0
ALDH4A1	56	156	90	69	70	58
MIR4695	0	0	0	0	0	0
MIR1290	0	0	0	0	0	0
IFFO2	135	302	203	122	122	103
UBR4	1886	2991	2744	2059	1867	1952
LOC101927895	52	57	54	40	28	45
EMC1	513	749	544	410	314	374
MRTO4	293	393	303	279	257	268
AKR7L	3	12	10	13	16	11
AKR7A3	1	3	6	9	6	4
LOC100506730	21	51	35	49	31	38
AKR7A2	198	420	283	281	276	256
PQLC2	106	206	155	108	107	103
CAPZB	1300	1488	1444	1083	1122	1120
LOC105378614	0	0	0	0	0	0
MINOS1	110	184	154	141	102	126
MINOS1-NBL1	0	0	0	0	0	0
RPS14P3	10	15	10	13	6	7
NBL1	1	2	3	2	2	2
HTR6	2	1	2	0	1	4
TMCO4	83	118	107	103	107	64
OTUD3	91	109	91	91	76	66
PLA2G2E	0	0	0	0	0	0
PLA2G2A	111	297	180	348	272	242
PLA2G5	0	0	1	0	0	0
PLA2G2D	0	0	0	0	0	0
PLA2G2F	0	0	0	0	0	0
PLA2G2C	0	0	0	0	0	0
UBXN10-AS1	0	0	0	0	0	0
UBXN10	0	0	0	0	0	0
VWA5B1	0	0	0	0	0	0
LINC01141	0	0	0	0	0	0
CAMK2N1	85	113	84	153	194	141
MUL1	119	277	205	183	180	176
FAM43B	0	0	0	0	0	0
CDA	4	4	9	0	0	0
PINK1	320	648	564	343	340	269
MIR6084	0	0	0	0	0	0
PINK1-AS	248	495	393	277	221	230
DDOST	1711	2341	1900	1555	1500	1256
KIF17	19	34	24	12	11	16
SH2D5	50	116	111	35	20	29
HP1BP3	1131	2131	1523	1535	1140	1164
EIF4G3	1280	1818	1629	1243	1167	1067
MIR1256	0	0	0	0	0	0
ECE1	698	1158	1069	393	352	387
LOC100506801	0	3	4	0	3	2
NBPF3	60	73	44	64	60	50
GDNF	3	5	1	1	2	2
ALPL	6	2	6	0	3	4
PECAM1	0	1	0	2	0	0
NF1	581	894	737	609	540	562
RAP1GAP	13	14	24	31	49	30
USP48	341	528	421	393	335	354
LDLRAD2	1024	2142	1704	737	747	678
HSPG2	6189	11440	9051	3451	3319	3431
CELA3B	0	0	0	0	0	0
CELA3A	0	0	0	0	0	0
LOC101928043	3	1	2	0	5	2
LINC00339	29	60	65	75	56	48
CDC42	2414	2770	2515	2306	2112	2187
WNT4	75	282	193	100	115	118
MIR4418	0	0	0	0	0	0
ZBTB40	195	332	252	208	194	189
SERPINF1	19	42	27	22	27	16
MIR6127	0	0	0	0	0	0
C1QA	0	0	0	0	0	0
C1QC	0	0	0	0	0	0
C1QB	0	0	0	0	0	0
EPHB2	861	1416	1156	677	611	514
MIR4684	0	0	0	0	0	0
MIR4253	36	54	32	31	27	30
LACTBL1	0	0	0	0	0	0
C1orf234	0	0	0	0	0	1
KDM1A	542	732	618	506	478	445
MIR3115	0	0	0	0	0	0
MIR4419A	0	0	0	0	0	0
LUZP1	522	755	596	416	360	355
HTR1D	32	61	43	14	11	10
LINC01355	47	102	90	146	106	94
HNRNPR	1108	1357	1161	953	814	895
ZNF436	88	166	134	140	114	102
ZNF436-AS1	18	33	26	39	39	27
TCEA3	18	20	23	27	23	56
ASAP3	242	699	522	619	582	520
E2F2	20	56	23	23	27	32
LOC101928163	4	3	2	1	1	0
ID3	149	231	289	150	178	121
MDS2	0	0	0	0	0	0
RPL11	4341	7311	6656	5720	5392	5505
TCEB3	315	513	447	315	265	288
TCEB3-AS1	58	124	103	90	82	63
PITHD1	154	282	216	182	202	171
LYPLA2	332	470	424	349	317	285
GALE	230	386	292	236	218	208
HMGCL	66	151	134	144	133	101
FUCA1	111	165	167	197	170	159
CNR2	0	0	0	0	0	0
MIR378F	0	0	0	0	0	0
PNRC2	297	509	385	443	373	359
SRSF10	822	1118	938	906	831	833
MYOM3	17	49	72	5	7	49
IL22RA1	19	43	31	18	32	33
IFNLR1	4	5	3	10	6	5
LOC284632	0	0	0	0	0	0
GRHL3	2	6	1	5	8	5
STPG1	65	96	75	62	54	49
NIPAL3	458	1018	805	453	391	359
RCAN3AS	0	0	0	0	0	0
RCAN3	21	38	23	8	8	7
LOC100506985	1	8	6	0	2	0
NCMAP	0	0	0	0	0	0
SRRM1	675	1066	884	841	944	793
CLIC4	6628	11610	8862	3128	2627	2755
RUNX3	7	2	3	2	4	1
MIR6731	0	0	0	0	0	0
MIR4425	0	0	0	0	0	0
SYF2	236	405	319	332	346	270
RSRP1	366	941	700	842	796	677
RHD	12	9	8	25	19	14
TMEM50A	707	1225	987	739	624	638
CDIP1	52	74	69	41	39	46
NMRAL1	171	254	261	230	197	166
TMEM57	283	497	436	251	272	244
LDLRAP1	130	257	180	152	113	134
MAN1C1	22	50	67	55	67	47
SEPN1	903	1450	1006	912	848	748
MTFR1L	210	336	292	318	274	290
LOC646471	37	71	59	67	55	55
AUNIP	32	75	59	41	40	36
PAQR7	99	216	179	63	61	57
STMN1	289	445	348	254	224	267
MIR3917	0	0	0	0	0	0
PAFAH2	32	61	52	39	37	27
EXTL1	1	5	3	2	2	3
SLC30A2	1	0	0	0	1	2
TRIM63	0	0	0	0	0	12
PDIK1L	53	116	74	83	65	65
FAM110D	3	4	3	1	4	9
ZNF593	47	75	65	48	40	58
CNKSR1	8	9	7	2	6	4
CATSPER4	0	0	0	0	0	0
LOC101928303	0	0	0	0	0	0
CEP85	104	193	132	98	73	114
SH3BGRL3	1288	2037	1614	650	690	584
UBXN11	102	150	108	116	94	125
CD52	0	1	0	0	1	1
AIM1L	25	54	31	9	5	5
ZNF683	0	0	0	0	0	0
LIN28A	0	1	1	1	0	0
DHDDS	237	350	278	217	177	185
LOC101928324	4	3	4	4	0	2
HMGN2	1362	2270	1583	1462	1327	1385
RPS6KA1	274	395	364	260	229	213
MIR1976	0	0	0	0	0	0
LOC101928728	3	3	3	2	1	1
ARID1A	1143	1241	1134	1117	1187	1019
PIGV	62	132	100	77	84	54
ZDHHC18	243	413	322	201	182	154
SFN	487	891	987	169	156	207
GPN2	138	176	148	132	110	125
GPATCH3	36	62	54	48	28	37
NR0B2	1	0	1	0	0	0
NUDC	605	959	730	622	524	524
KDF1	3	5	3	6	3	9
TRNP1	462	1063	771	599	601	525
FAM46B	100	260	162	36	46	50
SLC9A1	602	641	582	436	455	426
WDTC1	241	360	330	319	322	277
TMEM222	198	359	279	271	253	240
ACTG1P20	15	19	27	21	20	16
SYTL1	18	47	23	26	27	33
MAP3K6	185	408	331	202	204	196
NR1H4	0	0	0	0	0	0
CD164L2	1	0	0	0	1	2
GPR3	6	16	11	6	10	2
WASF2	1008	1689	1450	1128	1049	913
AHDC1	792	1260	959	986	990	868
FGR	2	2	4	2	5	2
IFI6	344	737	865	227	288	137
FAM76A	65	74	61	49	65	64
STX12	205	325	271	264	197	229
PPP1R8	214	364	299	241	189	194
SCARNA1	0	0	0	0	0	0
THEMIS2	7	23	28	9	15	7
RPA2	194	291	222	262	221	239
SMPDL3B	28	39	44	51	65	53
XKR8	41	108	121	73	50	50
EYA3	235	321	241	225	202	165
PTAFR	4	3	3	0	7	0
DNAJC8	515	868	598	603	523	542
ATPIF1	179	357	289	227	228	232
SESN2	209	308	229	170	172	133
MED18	59	114	80	54	54	56
PHACTR4	509	886	670	558	571	480
SNHG3	184	456	369	261	217	241
RCC1	445	812	617	393	355	316
SNORA73B	4	9	6	3	2	3
TRNAU1AP	134	159	136	120	110	110
SNHG12	95	178	159	122	105	99
SNORD50A	0	0	0	0	0	0
SNORA61	12	27	15	25	14	18
SNORA44	4	9	9	4	4	6
SNORA16A	7	10	10	10	2	3
RAB42	8	16	10	11	2	11
TAF12	153	231	177	144	133	114
RNU11	0	1	1	4	0	0
GMEB1	59	72	45	34	46	32
YTHDF2	625	724	633	536	534	558
OPRD1	0	0	0	1	0	0
EPB41	279	498	377	267	257	257
TMEM200B	180	332	262	217	166	187
SRSF4	482	866	674	556	559	517
MECR	46	72	68	68	59	62
PTPRU	297	442	392	489	431	380
LOC101928460	0	0	0	1	0	0
LOC101929406	0	0	0	0	0	0
MATN1	10	14	6	9	5	8
MATN1-AS1	9	15	12	18	17	16
LAPTM5	44	26	41	52	74	40
MIR4420	0	0	0	0	0	0
SDC3	391	600	425	476	466	459
PUM1	939	1391	1154	1123	974	912
SNORD103A	0	0	0	0	0	0
SNORD103B	0	0	0	0	0	0
SNORD103C	0	0	0	0	0	0
NKAIN1	13	2	4	8	7	7
SNRNP40	243	373	277	230	188	214
ZCCHC17	128	211	165	117	116	122
FABP3	7	13	11	9	9	37
SERINC2	121	187	160	48	49	38
LINC01225	0	0	0	0	0	0
LINC01226	0	0	0	0	0	0
TINAGL1	786	1478	867	537	527	446
HCRTR1	0	0	0	0	0	1
PEF1	287	468	382	344	265	263
COL16A1	244	191	186	249	249	175
ADGRB2	508	695	573	702	635	564
MIR4254	0	1	0	0	0	0
SPOCD1	0	4	1	4	3	1
PTP4A2	1609	2426	2106	1571	1417	1590
KHDRBS1	1159	1537	1319	1151	1115	1137
TMEM39B	137	188	170	132	136	124
MIR5585	0	0	0	0	0	0
KPNA6	589	809	598	507	471	470
TXLNA	492	890	669	477	428	441
CCDC28B	19	46	51	36	58	51
IQCC	30	42	50	79	52	52
DCDC2B	22	30	14	46	32	29
TMEM234	65	99	72	86	86	98
EIF3I	1219	1666	1446	1226	1119	1137
MTMR9LP	3	2	3	2	3	1
FAM167B	17	49	27	26	9	25
LCK	2	3	8	4	4	0
HDAC1	518	822	640	575	543	559
MARCKSL1	396	412	425	596	604	466
FAM229A	16	38	39	69	55	37
TSSK3	58	138	130	155	139	121
BSDC1	441	975	724	776	673	670
ZBTB8B	1	1	0	2	1	0
ZBTB8A	81	153	88	149	132	140
ZBTB8OS	92	146	103	86	75	78
RBBP4	1240	2088	1589	1456	1273	1337
SYNC	547	1149	837	719	621	620
KIAA1522	1457	2835	2047	2090	2017	1850
YARS	537	875	655	453	404	377
S100PBP	139	301	235	244	227	208
FNDC5	5	5	3	4	4	5
HPCA	1	2	8	4	23	3
CD276	844	1770	1393	992	807	825
RNF19B	619	360	401	312	354	278
AK2	647	1131	845	773	581	644
AZIN2	68	40	57	61	85	42
TRIM62	42	52	44	64	66	61
ZNF362	232	330	235	322	368	318
PHC2	601	980	828	843	713	646
MIR3605	0	1	1	0	2	0
LOC101929464	0	0	0	0	0	1
ZSCAN20	35	73	52	55	25	34
CSMD2	1	11	7	1	3	0
HMGB4	0	0	0	0	0	0
CSMD2-AS1	0	0	0	0	0	0
C1orf94	0	0	0	0	0	0
MIR552	0	0	0	0	0	1
GJB5	8	5	4	2	5	5
GJB4	4	3	2	1	1	1
GJB3	54	45	63	2	0	13
GJA4	8	4	10	9	4	12
SMIM12	118	185	129	95	87	108
DLGAP3	4	3	3	12	12	3
LOC653160	26	40	32	53	64	40
TMEM35B	169	277	252	253	221	190
ZMYM6	100	156	143	136	118	117
ZMYM1	101	145	112	117	95	99
SFPQ	1590	1826	1610	1141	1187	1127
ZMYM4	597	919	696	675	543	566
KIAA0319L	444	889	661	647	583	534
NCDN	241	389	321	340	321	309
TFAP2E	18	41	34	60	60	44
PSMB2	1104	1558	1234	914	883	825
C1orf216	69	160	152	142	106	84
CLSPN	138	185	91	65	64	96
AGO4	81	150	144	150	120	126
AGO1	362	408	392	375	405	314
AGO3	59	84	61	37	44	44
TEKT2	1	0	2	0	1	0
ADPRHL2	146	281	278	163	148	153
NDUFA10	346	605	452	496	451	455
TRAPPC3	236	443	393	291	203	234
MAP7D1	1000	1455	1071	791	821	745
THRAP3	957	1241	1072	1024	864	876
SH3D21	97	173	139	95	96	100
ACAA1	137	245	183	214	215	224
STK40	458	1095	750	430	442	355
LSM10	65	187	139	101	103	85
OSCP1	27	45	36	46	33	38
MRPS15	237	407	297	194	198	201
CSF3R	0	0	0	1	0	1
GRIK3	0	0	1	1	2	2
MIR4255	0	0	0	0	0	0
LINC01137	32	55	46	47	43	26
ZC3H12A	247	300	356	145	132	129
MIR6732	0	1	0	1	0	0
MEAF6	235	471	418	398	277	279
MIR5581	1	2	0	0	0	0
SNIP1	85	116	109	88	100	80
DNALI1	10	13	11	14	5	10
GNL2	342	506	389	349	308	341
RSPO1	128	532	406	552	437	462
C1orf109	124	202	172	189	135	149
CDCA8	208	293	222	101	104	121
EPHA10	59	117	110	158	123	138
MANEAL	46	106	91	54	66	64
YRDC	145	321	225	150	154	131
C1orf122	223	488	303	392	351	324
MTF1	184	252	199	168	152	157
INPP5B	123	181	136	154	117	106
SF3A3	643	973	708	620	543	558
FHL3	83	114	72	103	131	91
UTP11	177	276	226	157	126	141
POU3F1	1	0	17	0	1	2
MIR3659	0	0	0	0	0	0
LINC01343	0	0	1	1	1	0
RRAGC	441	497	495	396	430	309
MYCBP	0	1	0	0	0	0
GJA9-MYCBP	1	1	0	0	1	0
LOC105378663	0	4	0	3	2	0
GJA9	0	0	0	0	0	0
RHBDL2	29	34	35	39	33	29
AKIRIN1	391	552	494	324	349	323
NDUFS5	466	729	636	510	380	442
MACF1	5331	9208	7626	4557	3968	4083
KIAA0754	322	594	449	435	323	394
OXCT2P1	0	0	0	0	0	0
PPIEL	29	55	39	75	43	37
PABPC4	1237	1760	1379	1078	1080	984
LOC101929516	278	385	375	253	247	226
SNORA55	0	0	2	0	0	0
HEYL	1	2	2	3	1	3
NT5C1A	0	0	0	0	0	1
HPCAL4	8	8	8	20	21	11
PPIE	167	316	222	228	205	248
BCAP29	321	559	458	330	284	267
OXCT2	0	0	0	0	0	1
LOC101929536	0	0	2	1	3	3
TRIT1	79	173	129	113	113	120
MYCL	13	21	25	39	29	21
MFSD2A	267	549	394	291	253	295
CAP1	1815	2839	2264	1473	1325	1294
PPT1	357	535	422	407	304	301
RLF	182	288	290	184	137	149
TMCO2	1	1	0	0	0	0
ZMPSTE24	445	715	568	402	324	383
COL4A2	9015	13254	10735	2671	2580	2851
SMAP2	128	86	96	100	96	95
ZFP69B	5	4	4	9	1	5
ZFP69	20	30	20	17	23	21
EXO5	35	43	47	29	21	17
ZNF684	9	14	6	10	7	10
RIMS3	33	51	49	46	29	41
NFYC-AS1	34	83	50	50	47	49
NFYC	294	406	374	358	322	323
MIR30E	0	0	0	0	0	0
MIR30C1	0	0	0	0	1	0
KCNQ4	5	18	12	14	16	20
CITED4	9	11	17	19	23	12
CTPS1	285	495	361	148	113	154
SLFNL1-AS1	65	103	91	87	75	50
SLFNL1	7	23	7	16	9	14
SCMH1	461	741	579	591	584	471
FOXO6	63	157	117	112	136	138
LOC101929901	2	3	2	2	2	5
EDN2	26	31	25	30	22	32
HIVEP3	119	137	110	129	123	110
GUCA2B	0	0	0	0	0	0
GUCA2A	0	0	0	0	0	0
FOXJ3	426	575	511	595	547	468
RIMKLA	11	23	30	43	45	20
ZMYND12	12	14	9	23	20	9
PPCS	207	405	292	283	275	223
CCDC30	5	14	14	20	22	21
PPIH	111	129	111	98	71	84
YBX1	7105	7129	6141	5157	5618	5458
CLDN19	1	0	0	0	0	0
